"id","sub.species","life_cycle","country","locality","svl"
"22918","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.61479179195642
"22917","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.63818964019084
"22895","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.65427282709771
"22894","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.58399179919832
"22898","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.62065647981962
"22892","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.61898892036493
"22897","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.61552922363713
"22919","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.57657168406529
"22893","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.64177147065396
"22896","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.5992278627738
"22905","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.61310151696691
"22911","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.60238559010511
"22904","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.62065647981962
"22923","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.61752453488629
"22906","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.6195107208385
"22903","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.6341748717626
"22914","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.65724712988372
"22907","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.62654565902713
"22900","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.64335396197686
"22920","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.63968566124268
"22901","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.58994960132571
"22902","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.58905553105234
"22910","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.63427569462594
"22913","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.6341748717626
"22909","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.57019256109573
"22912","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.57783634129274
"22908","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.63032615480395
"22922","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.61647551388857
"22921","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.60541279815305
"22935","apuana","metamorphic","Italy","Lago Baccio, Modena",1.63367040605144
"22933","apuana","metamorphic","Italy","Lago Baccio, Modena",1.6699673699085
"22932","apuana","metamorphic","Italy","Lago Baccio, Modena",1.57229060615142
"22931","apuana","metamorphic","Italy","Lago Baccio, Modena",1.62592949271629
"22934","apuana","metamorphic","Italy","Lago Baccio, Modena",1.56002624891289
"22924","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.66464197555613
"22925","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.66247450375031
"22929","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.62991903550354
"22936","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.60584353905809
"22930","apuana","undergoing metamorphosis","Italy","Lago Baccio, Modena",1.60927417240459
"22927","apuana","paedomorphic","Italy","Lago Baccio, Modena",1.70389295363254
"22926","apuana","paedomorphic","Italy","Lago Baccio, Modena",1.72867836685091
"22928","apuana","paedomorphic","Italy","Lago Baccio, Modena",1.698535492562
"20401","apuana","metamorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.61331316145546
"20403","apuana","metamorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.62107237114363
"20402","apuana","metamorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.5971464878337
"20404","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.60336092434838
"20407","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.57680189582891
"20406","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.5842181121174
"20408","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.56561172490206
"20405","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.58793534863636
"20413","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.5950550897593
"20409","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.61552922363713
"20414","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.5931752634781
"20418","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.54654266347813
"20417","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.54580175715928
"20415","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.55059520748933
"20416","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.54678935163126
"20410","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.58602438238698
"20412","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.5975855017522
"20411","apuana","paedomorphic","Italy","Costa Rimacina, Luriano, Chindino,Siena, Toscana",1.58759872972124
"1992-2687","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.66322963453287
"1992-2685","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.6182573448404
"1992-2686","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.64266233144204
"1992-2754","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.60140806053468
"1992-2761","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.51361707378787
"1992-2755","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.5497387312649
"1992-2760","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.51041094801018
"1992-2757","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.50839503313305
"1992-2756","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.50987428500472
"1992-2758","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.5360531551592
"1992-2759","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.54654266347813
"1992-2825","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.47885496752866
"1992-2935","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.49066065335614
"1992-2936","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.51041094801018
"1992-2933","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.5287881917749
"1992-2934","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.52244423350632
"1992-2931","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.64246452024212
"1992-2932","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.68331726192188
"1992-2797","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.57147590368194
"1992-2824","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.47217114669236
"1992-2823","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.52205280086882
"1992-2822","apuana","paedomorphic","Italy","Lago Secco, Accumoli",1.46805179145424
"176570","apuana","metamorphic","Italy","Mt. Pond above Tarsagno, Parma Prov",1.62716095237478
"176571","apuana","metamorphic","Italy","Mt. Pond above Tarsagno, Parma Prov",1.65715150190097
"178851","apuana","metamorphic","Italy","Mt. Pond above Tarsagno, Parma Prov",1.60444206626072
"178852","apuana","metamorphic","Italy","Mt. Pond above Tarsagno, Parma Prov",1.65427282709771
"178853","apuana","metamorphic","Italy","Mt. Pond above Tarsagno, Parma Prov",1.61773403536402
"178854","apuana","metamorphic","Italy","Mt. Pond above Tarsagno, Parma Prov",1.62726341656822
"178855","apuana","metamorphic","Italy","Mt. Pond above Tarsagno, Parma Prov",1.65408023530657
"178856","apuana","metamorphic","Italy","Mt. Pond above Tarsagno, Parma Prov",1.62787769457997
"178857","apuana","metamorphic","Italy","Mt. Pond above Tarsagno, Parma Prov",1.63908787108374
"178858","apuana","metamorphic","Italy","Mt. Pond above Tarsagno, Parma Prov",1.63367040605144
"178859","apuana","metamorphic","Italy","Mt. Pond above Tarsagno, Parma Prov",1.62024018984583
"191954","apuana","metamorphic","Italy","Becciano, 10 km N Pisa",1.76589197643002
"191955","apuana","metamorphic","Italy","Becciano, 10 km N Pisa",1.73191094211687
"191956","apuana","metamorphic","Italy","Becciano, 10 km N Pisa",1.71566914240099
"191957","apuana","metamorphic","Italy","Becciano, 10 km N Pisa",1.7382254481425
"1016799","alpestris","paedomorphic","Switzerland","Rüschelzmoos, Ins",1.66001122128933
"1016900","alpestris","paedomorphic","Switzerland","Wald (AR)",1.65369479531508
"1047562","alpestris","paedomorphic","Switzerland","Hergiswald, Kriens",1.69442969095708
"1053490","alpestris","paedomorphic","Switzerland","Auried, Kleinbösingen",1.62797998982998
"8773-1","alpestris","paedomorphic","Switzerland","Lago Antilone,  Alpi Lepontime, Schweiz",1.58331215198308
"8866-1","alpestris","paedomorphic","Bosnia","Jezero b.Trnovo,  Bosnien, Jugoslawien",1.69284691927723
"8866-2","alpestris","paedomorphic","Bosnia","Jezero b.Trnovo,  Bosnien, Jugoslawien",1.63215348351063
"8866-3","alpestris","paedomorphic","Bosnia","Jezero b.Trnovo,  Bosnien, Jugoslawien",1.66454796224655
"8866-4","alpestris","paedomorphic","Bosnia","Jezero b.Trnovo,  Bosnien, Jugoslawien",1.66829271044822
"8866-5","alpestris","paedomorphic","Bosnia","Jezero b.Trnovo,  Bosnien, Jugoslawien",1.63818964019084
"8866-6","alpestris","paedomorphic","Bosnia","Jezero b.Trnovo,  Bosnien, Jugoslawien",1.62757066418054
"8866-7","alpestris","paedomorphic","Bosnia","Jezero b.Trnovo,  Bosnien, Jugoslawien",1.65272969606925
"8866-8","alpestris","paedomorphic","Bosnia","Jezero b.Trnovo,  Bosnien, Jugoslawien",1.6698745024898
"8866-9","alpestris","paedomorphic","Bosnia","Jezero b.Trnovo,  Bosnien, Jugoslawien",1.68547301972276
"6278","alpestris","metamorphic","Bosnia","BIH > Südl. Sarajevo < Seen der Trescavica",1.62407573114568
"6275","alpestris","metamorphic","Bosnia","BIH > Südl. Sarajevo < Seen der Trescavica",1.58399179919832
"6279","alpestris","metamorphic","Bosnia","BIH > Südl. Sarajevo < Seen der Trescavica",1.55786796156802
"6280","alpestris","metamorphic","Bosnia","BIH > Südl. Sarajevo < Seen der Trescavica",1.56074330105471
"6277","alpestris","metamorphic","Bosnia","BIH > Südl. Sarajevo < Seen der Trescavica",1.54032947479087
"2409-084","apuana","metamorphic","Italy","Castello di Serravalle à25Km. Ouest Sud-Ouestde Bologne",1.71642073384655
"2409-085","apuana","metamorphic","Italy","Castello di Serravalle à25Km. Ouest Sud-Ouestde Bologne",1.6667051361199
"2409-086","apuana","metamorphic","Italy","Castello di Serravalle à25Km. Ouest Sud-Ouestde Bologne",1.62541535215441
"2409-087","apuana","metamorphic","Italy","Castello di Serravalle à25Km. Ouest Sud-Ouestde Bologne",1.65030752313194
"2409-088","apuana","metamorphic","Italy","Castello di Serravalle à25Km. Ouest Sud-Ouestde Bologne",1.59933713299249
"2409-089","apuana","metamorphic","Italy","Castello di Serravalle à25Km. Ouest Sud-Ouestde Bologne",1.63032615480395
"2409-090","apuana","metamorphic","Italy","Castello di Serravalle à25Km. Ouest Sud-Ouestde Bologne",1.58591171031943
"15370","apuana","metamorphic","Italy","lac de ninfa, apennines, italy",1.66304097489397
"14020","apuana","metamorphic","Italy","Laghetto dei Bagni, monte Cimone, Modena, Italia",1.63748972951251
"14019","apuana","metamorphic","Italy","Laghetto dei Bagni, monte Cimone, Modena, Italia",1.62262842612933
"20526","apuana","metamorphic","Italy","Laghetto dei Bagni, monte Cimone, Modena, Italia",1.6730209071289
"14018","apuana","metamorphic","Italy","Laghetto dei Bagni, monte Cimone, Modena, Italia",1.63908787108374
"1992-2926","apuana","paedomorphic","Italy","Lago della Selva",1.5194341949137
"915-005","alpestris","metamorphic","Switzerland","Lac Noir",1.63738965012921
"915-001","alpestris","metamorphic","Switzerland","La Ferrière",1.71163853823235
"741-028a","alpestris","metamorphic","Switzerland","Pinchat",1.65619406217919
"877-087n","alpestris","metamorphic","Switzerland","Sta.Maria, Val Muster",1.7718813201901
"1119-054","alpestris","metamorphic","Switzerland","La Croue, Arzier",1.75838194177468
